centroid,label,EM,dataset
0.8839963357802173,g,LIME,ionoshpere
0.8585179247620219,g,LIME,ionoshpere
0.8552404234688962,g,LIME,ionoshpere
0.8236625769764869,g,LIME,ionoshpere
0.8336799473080669,g,LIME,ionoshpere
0.7740765029030163,g,LIME,ionoshpere
0.8159307804953551,g,LIME,ionoshpere
0.8802818447334273,g,LIME,ionoshpere
0.8505610329538784,g,LIME,ionoshpere
0.8965730330499129,g,LIME,ionoshpere
0.8726308880959078,g,LIME,ionoshpere
0.8401838084940709,g,LIME,ionoshpere
0.8225808331651984,g,LIME,ionoshpere
0.8417943454599536,g,LIME,ionoshpere
0.8623084847097628,g,LIME,ionoshpere
0.8377352643874324,g,LIME,ionoshpere
0.8155237512839189,g,LIME,ionoshpere
0.7890168707657635,g,LIME,ionoshpere
0.8274384248693438,g,LIME,ionoshpere
0.8231486201624403,g,LIME,ionoshpere
0.8544183694380484,g,LIME,ionoshpere
0.7806026392459149,g,LIME,ionoshpere
0.7921327571967542,g,LIME,ionoshpere
0.8657972174033156,g,LIME,ionoshpere
0.8254004252740267,g,LIME,ionoshpere
0.8334595532893102,g,LIME,ionoshpere
0.8090267641449161,g,LIME,ionoshpere
0.8474674877502998,g,LIME,ionoshpere
0.8506993031835244,g,LIME,ionoshpere
0.8467240518985016,g,LIME,ionoshpere
0.8665086262330981,g,LIME,ionoshpere
0.8721098922923247,g,LIME,ionoshpere
0.8944198112380868,g,LIME,ionoshpere
0.8101886325911396,g,LIME,ionoshpere
0.8213682727782248,g,LIME,ionoshpere
0.8642163614352218,g,LIME,ionoshpere
0.8003987633321925,g,LIME,ionoshpere
0.8332678834242824,g,LIME,ionoshpere
0.825802396939895,g,LIME,ionoshpere
0.8278553422633165,g,LIME,ionoshpere
0.7886475197286266,g,LIME,ionoshpere
0.8180299892596726,g,LIME,ionoshpere
0.8095134701294567,g,LIME,ionoshpere
0.8737630852236208,g,LIME,ionoshpere
0.8421423258350902,g,LIME,ionoshpere
0.8698829640512792,g,LIME,ionoshpere
0.8129908836684411,g,LIME,ionoshpere
0.862076521465111,g,LIME,ionoshpere
0.8095987308356325,g,LIME,ionoshpere
0.8904191931421853,g,LIME,ionoshpere
0.8954055537340261,g,LIME,ionoshpere
0.8956147417592492,g,LIME,ionoshpere
0.7683384277447272,g,LIME,ionoshpere
0.7959795279953089,g,LIME,ionoshpere
0.8284786376663926,g,LIME,ionoshpere
0.8552233608451509,g,LIME,ionoshpere
0.8205064973998936,g,LIME,ionoshpere
0.8434822147147109,g,LIME,ionoshpere
0.8266788748203726,g,LIME,ionoshpere
0.8766567658653751,g,LIME,ionoshpere
0.8314720534504006,g,LIME,ionoshpere
0.8180970314982383,g,LIME,ionoshpere
0.8150975608810048,g,LIME,ionoshpere
0.8380504864806073,g,LIME,ionoshpere
0.8137428522657902,g,LIME,ionoshpere
0.8738051032937842,g,LIME,ionoshpere
0.8908275637327564,g,LIME,ionoshpere
0.8204744781463205,g,LIME,ionoshpere
0.829224871102075,g,LIME,ionoshpere
0.830382744989598,g,LIME,ionoshpere
0.7843500742425036,g,LIME,ionoshpere
0.8775822836038958,b,LIME,ionoshpere
0.8489041963867725,b,LIME,ionoshpere
0.847752006801966,b,LIME,ionoshpere
0.8194213848809605,b,LIME,ionoshpere
0.8358789758136911,b,LIME,ionoshpere
0.7594290664853555,b,LIME,ionoshpere
0.8033134691529215,b,LIME,ionoshpere
0.8811785001336323,b,LIME,ionoshpere
0.8364663983680306,b,LIME,ionoshpere
0.8905362759763046,b,LIME,ionoshpere
0.8714159209048992,b,LIME,ionoshpere
0.8425708661068014,b,LIME,ionoshpere
0.8026252325154591,b,LIME,ionoshpere
0.836097239380053,b,LIME,ionoshpere
0.8574530551629084,b,LIME,ionoshpere
0.8426660903485554,b,LIME,ionoshpere
0.7994341315401984,b,LIME,ionoshpere
0.7856690933473597,b,LIME,ionoshpere
0.806798372359517,b,LIME,ionoshpere
0.8297713532207827,b,LIME,ionoshpere
0.8536497925907157,b,LIME,ionoshpere
0.7527755097165831,b,LIME,ionoshpere
0.7611480360784829,b,LIME,ionoshpere
0.8682576646929367,b,LIME,ionoshpere
0.8428233494380954,b,LIME,ionoshpere
0.8242020222063638,b,LIME,ionoshpere
0.807596016609273,b,LIME,ionoshpere
0.8589274034737618,b,LIME,ionoshpere
0.8424770999158049,b,LIME,ionoshpere
0.852976241529681,b,LIME,ionoshpere
0.8615488025605392,b,LIME,ionoshpere
0.8712128071352846,b,LIME,ionoshpere
0.8892423378463523,b,LIME,ionoshpere
0.7909136285320106,b,LIME,ionoshpere
0.8240788894711228,b,LIME,ionoshpere
0.8553690765839292,b,LIME,ionoshpere
0.7760152412702263,b,LIME,ionoshpere
0.8145491825762634,b,LIME,ionoshpere
0.8131826467438028,b,LIME,ionoshpere
